variable,mean,std,min,max,length,filename
W12_Turbulence,0.2295278969957082,0.18952581559974346,0.0,0.79,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W12_CleanTan,0.570472103004292,0.3021521087924317,-0.18,1.2,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
W12_Cross,0.2868240343347639,0.1609943480669929,0.04,0.65,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Position,105.32789719626167,62.25885197743423,-37.33,211.5,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Height above ground [m],2.4379812206572766,1.0017127594654376,0.0,4.3,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
X [m],93.96827102803738,52.44469130705601,-35.2,180.81,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Y [m],-1.3018691588785047,0.9255107772266455,-2.71,0.0,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Z [m],-48.207102803738316,33.732182722012816,-109.08,10.27,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Opening Angle [°],27.483098591549293,5.177600137479726,0.0,38.4,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Stalling Angle Left [°],-1.5949624413145538,3.7989305109312776,-14.269,6.422,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Stalling Angle Right [°],-5.6175399061032865,4.269074043979029,-22.425,3.617,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Roll Angle Left [°],28.719957746478876,9.351479560218658,-2.612,42.005,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Roll Angle Right [°],-28.778028169014085,11.647813370350827,-42.741,5.835,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Yaw Angle Left [°],12.912093896713614,3.521662911318052,0.0,18.939,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Yaw Angle Right [°],-14.205107981220658,2.8897576418881727,-21.093,0.0,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Speed hor. [km/h],98.31444859813085,6.822500326758003,0.0,101.828,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Speed vert. [km/h],-60.62211214953271,17.685761825781082,-78.92,0.0,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
Speed resulting [km/h],116.56293925233643,10.727254309675956,0.0,125.107,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
W1_Speed,0.5691588785046731,0.18959369205314286,0.4,0.9,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
W1_Tangent,0.06266355140186915,0.07418989009307918,-0.1,0.19,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
W1_Turbulence,0.1387850467289719,0.13281856225533864,0.0,0.34,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
W1_CleanTan,0.06266355140186915,0.07418989009307918,-0.1,0.19,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
W1_Cross,0.5369626168224297,0.19322474327279723,0.33,0.91,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
W2_Speed,0.8448598130841122,0.15638741160619382,0.6,1.1,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
W2_Tangent,-0.009205607476635493,0.19708872853810128,-0.24,0.55,211.1778513480995,999_999_Jumper_Anon_ANO_1_20240409-102834_C_OfficialResults.csv
